"Manage Itau ShopLine Transactions","Gerenciar Transações do Itau ShopLine"
"Gamuza Itau ShopLine Section","Seção de Pagamentos da Gamuza"
"Itau ShopLine Transactions Manager","Gerenciador de Transações do Itau ShopLine"
"Number","Número"
"Expiration","Expiração"
"Amount","Quantia"
"Submit","Enviar"
"Query","Consultar"
"View Item '%s'","Visualizar Item '%s'"
"New Order Status","Status dos Novos Pedidos"
"Itau ShopLine Types","Tipos do Itau ShopLine"
"Payment Applicable From","Pagamentos aplicáveis a partir de"
"Itau ShopLine - Settings","Itau ShopLine - Ajustes"
"Submit URL","URL de Envio"
"Query URL","URL de Consulta"
"Return URL","URL de Retorno"
"Key","Chave"
"Expiration (days)","Expiração (dias)"
"Observation","Observação"
"Additional Observation 1","Observações Adicionais 1"
"Additional Observation 2","Observações Adicionais 2"
"Additional Observation 3","Observações Adicionais 3"
"Type","Tipo"
"Itau ShopLine - Submit Transaction","Efetuar Pagamento"
"Submit this transaction","Efetuar pagamento"
"Itau ShopLine - Query Transaction","Consultar Pagamento"
"Query this transaction","Consultar Pagamento"
"Itau Slip","Boleto"
"Itau TEF","Transferência Eletrônica"
"Unable to generate submit transaction code. Please check your settings.","Não foi possível gerar o código de transação para envio. Por favor, verifique as suas configurações."
"Unable to generate query transaction code. Please check your settings.","Não foi possível gerar o código de transação para consulta. Por favor, verifique as suas configurações."
"Hmmm... We found a pop-up blocker in your web browser.","Hummm... Encontramos um bloqueador de pop-ups ativo em seu navegador."
"Please disable your pop-up blocker for this site and click on 'Submit' link again.","Por favor, desative o seu bloqueador de pop-ups para este site e clique no link 'Pagar' novamente."
"Order ID Increment","Incremento para o ID do Pedido"
